FamilyIDCount,Offspring count,Pondcount,Larvalcount,IntFamID
B2_014,118,26,92,1
B1_033,113,14,99,2
B3_012,96,5,91,3
B2_010,90,21,69,4
B2_007,84,23,61,5
B3_011,76,23,53,6
B3_020,75,17,58,7
B2_017,74,11,63,8
B3_013,73,10,63,9
B2_013,67,17,50,10
B1_011,66,4,62,11
B1_012,63,0,63,12
B2_015,61,14,47,13
B2_021,57,4,53,14
B2_003,56,13,43,15
B1_026,51,7,44,16
B3_016,51,9,42,17
B3_007,49,5,44,18
B3_019,45,3,42,19
B1_015,44,4,40,20
G1T1701_BR_131_M__G1T1701_BR_262_MP,44,44,0,21
B1_004,41,6,35,22
B2_020,41,5,36,23
B3_004,38,1,37,24
B2_018,36,1,35,25
B3_005,35,12,23,26
B3_001,34,12,22,27
B3_009,34,8,26,28
B1_006,31,1,30,29
B1_036,30,3,27,30
B2_011,30,3,27,31
B2_019,27,3,24,32
B3_008,27,0,27,33
B2_005,26,2,24,34
B1_021,25,2,23,35
B3_015,25,4,21,36
B3_003,24,2,22,37
G1T1701_BR_182_MP__G1T1701_BR_023_P,24,24,0,38
B1_019,23,4,19,39
B2_004,23,1,22,40
B1_008,19,9,10,41
B2_016,19,4,15,42
G1T1701_BR_166_MP__G1T1701_BR_263_MP,19,19,0,43
B2_009,18,5,13,44
B3_029,18,1,17,45
B2_002,17,3,14,46
G1T1701_BR_048_P__G1T1701_BR_002_P,16,16,0,47
B1_005,15,0,15,48
B1_030,15,0,15,49
B1_034,15,2,13,50
G1T1701_BR_049_GP__G1T1701_BR_003_P,15,15,0,51
G1T1701_BR_360_MP__G1T1701_BR_318_MP,15,15,0,52
B1_010,14,0,14,53
B1_016,14,4,10,54
B3_017,14,2,12,55
G1T1701_BR_048_P__G1T1701_BR_001_P,13,13,0,56
B1_023,12,1,11,57
G1T1701_BR_067_GP__G1T1701_BR_037_P,12,12,0,58
B1_003,11,2,9,59
B1_037,11,2,9,60
B3_014,11,3,8,61
G1T1701_BR_112_MP__G1T1701_BR_002_P,11,11,0,62
G1T1701_BR_139_MP__G1T1701_BR_042_P,10,10,0,63
B1_025,9,2,7,64
B2_008,9,0,9,65
B2_012,9,0,9,66
G1T1701_BR_053_GP__G1T1701_BR_006_P,9,9,0,67
G1T1701_BR_182_MP__G1T1701_BR_024_P,9,9,0,68
B3_023,8,3,5,69
G1T1701_BR_119_MP__G1T1701_BR_324_MP,8,8,0,70
B3_006,6,0,6,71
G1T1701_BR_053_GP__G1T1701_BR_005_P,6,6,0,72
G1T1701_BR_113_MP__G1T1701_BR_262_MP,6,6,0,73
G1T1701_BR_159_MP__G1T1701_BR_444_MP,6,6,0,74
G1T1701_BR_401_MP__G1T1701_BR_025_P,6,6,0,75
G1T1701_BR_067_GP__G1T1701_BR_038_P,5,5,0,76
G1T1701_BR_134_MP__G1T1701_BR_444_MP,5,5,0,77
B1_027,4,0,4,78
G1T1701_BR_103_MP__G1T1701_BR_012_P,4,4,0,79
G1T1701_BR_119_MP__G1T1701_BR_015_P,4,4,0,80
G1T1701_BR_123_MP__G1T1701_BR_251_MP,4,4,0,81
G1T1701_BR_103_MP__G1T1701_BR_014_P,3,3,0,82
G1T1701_BR_211_MP__G1T1701_BR_428_MP,3,3,0,83
G1T1701_BR_049_GP__G1T1701_BR_001_P,2,2,0,84
G1T1701_BR_064_P__G1T1701_BR_031_P,2,2,0,85
G1T1701_BR_068_P__G1T1701_BR_017_P,2,2,0,86
G1T1701_BR_090_M__G1T1701_BR_022_P,1,1,0,87
G1T1701_BR_401_MP__G1T1701_BR_450_MP,1,1,0,88
